"","city","lat","lng","group"
"1","Mexico City",19.4333,-99.1333,"C"
"2","Guadalajara",20.6767,-103.3475,"C"
"3","Monterrey",25.6667,-100.3,"C"
"4","Tijuana",32.525,-117.0333,"B"
"5","Ecatepec",19.6097,-99.06,"C"
"6","León de los Aldama",21.1167,-101.6833,"B"
"7","Puebla",19.0333,-98.1833,"C"
"8","Zapopan",20.7167,-103.4,"C"
"9","Juárez",31.745,-106.485,"B"
"10","Mexicali",32.6633,-115.4678,"B"
"11","Nezahualcóyotl",19.4081,-99.0186,"B"
"12","Ciudad Nezahualcóyotl",19.4006,-99.0148,"B"
"13","Morelia",19.7683,-101.1894,"C"
"14","Aguascalientes",21.876,-102.296,"B"
"15","Naucalpan de Juárez",19.4753,-99.2378,"C"
"16","Mérida",20.97,-89.62,"A"
"17","Cancún",21.1606,-86.8475,"A"
"18","Chihuahua",28.6369,-106.0769,"B"
"19","Saltillo",25.4231,-100.9919,"B"
"20","El Dorado",24.808,-107.397,"B"
"21","Hermosillo",29.0989,-110.9542,"B"
"22","Culiacán",24.8069,-107.3939,"B"
"23","Querétaro",20.5875,-100.3928,"B"
"24","San Luis Potosí",22.1511,-100.9761,"B"
"25","Guadalupe",25.6775,-100.2597,"C"
"26","Acapulco de Juárez",16.8636,-99.8825,"A"
"27","Tlaquepaque",20.6167,-103.3167,"C"
"28","Durango",24.025,-104.6675,"B"
"29","Tlalnepantla",19.5367,-99.1947,"C"
"30","Chimalhuacán",19.4167,-98.9,"C"
"31","Irapuato",20.6667,-101.35,"B"
"32","Reynosa",26.0922,-98.2778,"B"
"33","Tuxtla",16.7528,-93.1167,"A"
"34","Tonalá",20.6167,-103.2333,"C"
"35","Cuautitlán Izcalli",19.65,-99.25,"C"
"36","Ixtapaluca",19.3186,-98.8822,"C"
"37","Heroica Matamoros",25.8797,-97.5042,"C"
"38","Ciudad Apodaca",25.7817,-100.1886,"C"
"39","Tultitlán de Mariano Escobedo",19.645,-99.1694,"C"
"40","Mazatlán",23.2167,-106.4167,"B"
"41","Ciudad López Mateos",19.55,-99.2833,"C"
"42","Ensenada",31.8578,-116.6058,"B"
"43","San Nicolás de los Garza",25.75,-100.2833,"B"
"44","Veracruz",19.1903,-96.1533,"A"
"45","Xalapa",19.54,-96.9275,"C"
"46","Nuevo Laredo",27.4861,-99.5069,"B"
"47","Celaya",20.5222,-100.8122,"B"
"48","Nicolás Romero",19.5833,-99.3667,"C"
"49","Tecámac",19.7131,-98.9683,"C"
"50","Minatitlán",17.9833,-94.55,"A"
"51","Villahermosa",17.9892,-92.9281,"A"
"52","Gómez Palacio",25.5611,-103.4983,"B"
