name,population,latitude,longitude
Mexico City,21804000.0,19.4333,-99.1333
Guadalajara,5525000.0,20.6767,-103.3475
Monterrey,5341171.0,25.6667,-100.3
Tijuana,2002000.0,32.525,-117.0333
Ecatepec,1929926.0,19.6097,-99.06
León de los Aldama,1579803.0,21.1167,-101.6833
Puebla,1576259.0,19.0333,-98.1833
Zapopan,1476491.0,20.7167,-103.4
Juárez,1321004.0,31.745,-106.485
Mexicali,1102342.0,32.6633,-115.4678
Nezahualcóyotl,1077208.0,19.4081,-99.0186
Ciudad Nezahualcóyotl,1072676.0,19.4006,-99.0148
Morelia,1011704.0,19.7683,-101.1894
Aguascalientes,934424.0,21.876,-102.296
Naucalpan de Juárez,910407.0,19.4753,-99.2378
Mérida,892363.0,20.97,-89.62
Cancún,888797.0,21.1606,-86.8475
Chihuahua,878062.0,28.6369,-106.0769
Saltillo,864431.0,25.4231,-100.9919
El Dorado,858638.0,24.808,-107.397
Hermosillo,855563.0,29.0989,-110.9542
Culiacán,808416.0,24.8069,-107.3939
Querétaro,801940.0,20.5875,-100.3928
San Luis Potosí,772828.0,22.1511,-100.9761
Guadalupe,691931.0,25.6775,-100.2597
Acapulco de Juárez,673478.0,16.8636,-99.8825
Tlaquepaque,664193.0,20.6167,-103.3167
Durango,654876.0,24.025,-104.6675
Tlalnepantla,653410.0,19.5367,-99.1947
Chimalhuacán,614453.0,19.4167,-98.9
Irapuato,592953.0,20.6667,-101.35
Reynosa,589466.0,26.0922,-98.2778
Tuxtla,578830.0,16.7528,-93.1167
Tonalá,569913.0,20.6167,-103.2333
Cuautitlán Izcalli,555163.0,19.65,-99.25
Ixtapaluca,542211.0,19.3186,-98.8822
Heroica Matamoros,541979.0,25.8797,-97.5042
Ciudad Apodaca,523370.0,25.7817,-100.1886
Tultitlán de Mariano Escobedo,520557.0,19.645,-99.1694
Mazatlán,501441.0,23.2167,-106.4167
Ciudad López Mateos,489937.0,19.55,-99.2833
Ensenada,443807.0,31.8578,-116.6058
San Nicolás de los Garza,443273.0,25.75,-100.2833
Veracruz,428323.0,19.1903,-96.1533
Xalapa,424755.0,19.54,-96.9275
Nuevo Laredo,384033.0,27.4861,-99.5069
Celaya,378143.0,20.5222,-100.8122
Nicolás Romero,366602.0,19.5833,-99.3667
Tecámac,364579.0,19.7131,-98.9683
Minatitlán,356020.0,17.9833,-94.55
Villahermosa,353577.0,17.9892,-92.9281
Gómez Palacio,342286.0,25.5611,-103.4983
Cuernavaca,338650.0,18.9186,-99.2342
Uruapan,334749.0,19.4208,-102.0628
Tepic,332863.0,21.5083,-104.8931
Soledad de Graciano Sánchez,332072.0,22.1833,-100.9333
Ciudad Obregón,329404.0,27.4939,-109.9389
Salamanca,327169.0,20.5703,-101.1972
Guasavito,320000.0,25.5744,-108.4706
Tehuacán,319375.0,18.4617,-97.3928
Coatzacoalcos,319187.0,18.15,-94.4333
Chalco,310130.0,19.2647,-98.8975
Ciudad Benito Juárez,308285.0,25.65,-100.0833
Ciudad Santa Catarina,306322.0,25.6833,-100.45
Ciudad Victoria,305155.0,23.7389,-99.1431
Playa del Carmen,304942.0,20.6281,-87.0755
San Juan del Río,301237.0,20.3833,-99.9833
Oaxaca,300050.0,17.0606,-96.7253
Ciudad General Escobedo,299364.0,25.7933,-100.1583
Los Mochis,298009.0,25.7835,-108.9937
Pachuca,297848.0,20.1,-98.75
Tampico,297284.0,22.2553,-97.8686
Coacalco,293444.0,19.6333,-99.0931
Huixquilucan,284965.0,19.3611,-99.3508
Nogales,264782.0,31.3,-110.9333
Heroica Nogales,261137.0,31.3186,-110.9458
La Paz,250141.0,24.1422,-110.3108
Campeche,249623.0,19.85,-90.5306
Carmen,248845.0,18.6431,-91.8306
Monclova,237169.0,26.9103,-101.4222
García,234698.0,25.8167,-100.5833
Fresnillo,230865.0,23.175,-102.8675
Puerto Vallarta,224166.0,20.6458,-105.2222
Toluca,223876.0,19.2925,-99.6569
Tapachula,217550.0,14.9,-92.2667
Jiutepec,215357.0,18.8833,-99.1667
Comalcalco,214877.0,18.2801,-93.2018
Guadalupe,211740.0,22.7528,-102.5078
Zamora,207860.0,19.9833,-102.2833
Córdoba,204721.0,18.8942,-96.9347
Ciudad Madero,197216.0,22.25,-97.8333
Cuautla,194786.0,18.8167,-98.95
Guanajuato,194500.0,21.0178,-101.2567
Ciudad del Carmen,191238.0,18.6333,-91.8333
Manzanillo,191031.0,19.0522,-104.3158
Poza Rica de Hidalgo,189457.0,20.5333,-97.45
Chilpancingo,187251.0,17.55,-99.5
San Cristóbal,183509.0,16.7367,-92.6383
Cuauhtémoc,180638.0,28.405,-106.8667
Cuautitlán,178847.0,19.6833,-99.1833
Ciudad Valles,177022.0,21.9833,-99.0167
San Luis Río Colorado,176685.0,32.4767,-114.7625
Santa María Texmelucan,175518.0,19.2833,-98.4333
Chicoloapan,175053.0,19.4167,-98.9
Piedras Negras,173959.0,28.7,-100.5231
Lagos de Moreno,172402.0,21.35,-101.9167
Chetumal,169028.0,18.5036,-88.3053
San Martin Texmelucan de Labastida,163922.0,19.2833,-98.4333
Tuxtepec,162511.0,18.1,-96.1167
San Andrés Tuxtla,162428.0,18.4483,-95.2122
Papantla de Olarte,161097.0,20.4478,-97.32
Tulancingo,161069.0,20.0833,-98.3667
Ciudad Acuña,160225.0,29.3242,-100.9317
Macuspana,158601.0,17.7667,-92.6
Guaymas,156863.0,27.9183,-110.8933
Ixtlahuaca,153184.0,19.5689,-99.7669
Delicias,150506.0,28.1931,-105.4717
Valle de Santiago,150054.0,20.3928,-101.1914
Pénjamo,149936.0,20.4311,-101.7222
Villa de Álvarez,149762.0,19.25,-103.7333
Pesquería,147624.0,25.785,-100.0511
Colima,146965.0,19.2433,-103.7247
Boca del Rio,144550.0,19.1056,-96.1078
Tepatitlán de Morelos,141322.0,20.8139,-102.7639
Las Maravillas,141027.0,16.3667,-91.7333
Iguala de la Independencia,140363.0,18.345,-99.5383
Kanasín,139753.0,20.9344,-89.5578
Cunduacán,137257.0,18.0667,-93.1667
San José del Cabo,136285.0,23.0614,-109.7081
Zinacantepec,136167.0,19.2833,-99.7333
Huejutla de Reyes,129919.0,21.1333,-98.4167
Cholula de Rivadabia,129032.0,19.0633,-98.3064
Apatzingan de la Constitucion,128250.0,19.0886,-102.3508
Orizaba,123182.0,18.85,-97.1
Zacatecas,122889.0,22.7736,-102.5736
San Pedro Garza García,122659.0,25.6667,-100.3
Ciudad Hidalgo,122619.0,19.6917,-100.5536
Navojoa,120926.0,27.0813,-109.4461
Chilapa de Álvarez,120790.0,17.5944,-99.1778
Tizayuca,119442.0,19.8333,-98.9833
Miramar,118614.0,22.3375,-97.8694
Matamoros,118337.0,25.533,-103.25
Heroica Guaymas,117253.0,27.9183,-110.8989
Tecomán,116305.0,18.9089,-103.8747
Temixco,116143.0,18.85,-99.2333
El Pueblito,115264.0,20.5397,-100.4414
Ciudad Guzmán,115000.0,19.7,-103.4667
Tlapacoyan,115000.0,19.9617,-97.2108
Las Delicias,114783.0,28.2,-105.5
Comitán,113479.0,16.25,-92.1333
Chilón,111554.0,17.1167,-92.2833
San Antonio Enchisi,110560.0,19.7072,-99.7867
Martínez de la Torre,110415.0,20.0667,-97.05
Temoaya,105766.0,19.4686,-99.5933
Lerma,105578.0,19.2847,-99.5119
Texcoco,105165.0,19.52,-98.88
Parral,104836.0,26.9333,-105.6667
Tenancingo,104677.0,18.9608,-99.5906
Tula de Allende,103919.0,20.05,-99.35
Matehuala,102199.0,23.6528,-100.6444
Ciudad Río Bravo,101481.0,25.9861,-98.0889
San Luis de la Paz,101370.0,21.2986,-100.5164
Playas de Rosarito,100660.0,32.3422,-117.0561
San Felipe del Progreso,100201.0,19.7125,-99.9511
Ixmiquilpan,98654.0,20.4819,-99.2181
Tamazunchale,96820.0,21.2667,-98.7833
