city,lat,lng,group
Mexico City,19.4333,-99.1333,C
Guadalajara,20.6767,-103.3475,C
Monterrey,25.6667,-100.3,C
Tijuana,32.525,-117.0333,B
Ecatepec,19.6097,-99.06,C
León de los Aldama,21.1167,-101.6833,B
Puebla,19.0333,-98.1833,C
Zapopan,20.7167,-103.4,C
Juárez,31.745,-106.485,B
Mexicali,32.6633,-115.4678,B
Nezahualcóyotl,19.4081,-99.0186,B
Ciudad Nezahualcóyotl,19.4006,-99.0148,B
Morelia,19.7683,-101.1894,C
Aguascalientes,21.876,-102.296,B
Naucalpan de Juárez,19.4753,-99.2378,C
Mérida,20.97,-89.62,A
Cancún,21.1606,-86.8475,A
Chihuahua,28.6369,-106.0769,B
Saltillo,25.4231,-100.9919,B
El Dorado,24.808,-107.397,B
Hermosillo,29.0989,-110.9542,B
Culiacán,24.8069,-107.3939,B
Querétaro,20.5875,-100.3928,B
San Luis Potosí,22.1511,-100.9761,B
Guadalupe,25.6775,-100.2597,C
Acapulco de Juárez,16.8636,-99.8825,A
Tlaquepaque,20.6167,-103.3167,C
Durango,24.025,-104.6675,B
Tlalnepantla,19.5367,-99.1947,C
Chimalhuacán,19.4167,-98.9,C
Irapuato,20.6667,-101.35,B
Reynosa,26.0922,-98.2778,B
Tuxtla,16.7528,-93.1167,A
Tonalá,20.6167,-103.2333,C
Cuautitlán Izcalli,19.65,-99.25,C
Ixtapaluca,19.3186,-98.8822,C
Heroica Matamoros,25.8797,-97.5042,C
Ciudad Apodaca,25.7817,-100.1886,C
Tultitlán de Mariano Escobedo,19.645,-99.1694,C
Mazatlán,23.2167,-106.4167,B
Ciudad López Mateos,19.55,-99.2833,C
Ensenada,31.8578,-116.6058,B
San Nicolás de los Garza,25.75,-100.2833,B
Veracruz,19.1903,-96.1533,A
Xalapa,19.54,-96.9275,C
Nuevo Laredo,27.4861,-99.5069,B
Celaya,20.5222,-100.8122,B
Nicolás Romero,19.5833,-99.3667,C
Tecámac,19.7131,-98.9683,C
