name,state,population,latitude,longitude
Mexico City,Ciudad de México,21804000.0,19.4333,-99.1333
Guadalajara,Jalisco,5525000.0,20.6767,-103.3475
Monterrey,Nuevo León,5341171.0,25.6667,-100.3
Tijuana,Baja California,2002000.0,32.525,-117.0333
Ecatepec,México,1929926.0,19.6097,-99.06
León de los Aldama,Guanajuato,1579803.0,21.1167,-101.6833
Puebla,Puebla,1576259.0,19.0333,-98.1833
Zapopan,Jalisco,1476491.0,20.7167,-103.4
Juárez,Chihuahua,1321004.0,31.745,-106.485
Mexicali,Baja California,1102342.0,32.6633,-115.4678
Nezahualcóyotl,México,1077208.0,19.4081,-99.0186
Ciudad Nezahualcóyotl,México,1072676.0,19.4006,-99.0148
Morelia,Michoacán,1011704.0,19.7683,-101.1894
Aguascalientes,Aguascalientes,934424.0,21.876,-102.296
Naucalpan de Juárez,México,910407.0,19.4753,-99.2378
Mérida,Yucatán,892363.0,20.97,-89.62
Cancún,Quintana Roo,888797.0,21.1606,-86.8475
Chihuahua,Chihuahua,878062.0,28.6369,-106.0769
Saltillo,Coahuila,864431.0,25.4231,-100.9919
El Dorado,Sinaloa,858638.0,24.808,-107.397
Hermosillo,Sonora,855563.0,29.0989,-110.9542
Culiacán,Sinaloa,808416.0,24.8069,-107.3939
Querétaro,Querétaro,801940.0,20.5875,-100.3928
San Luis Potosí,San Luis Potosí,772828.0,22.1511,-100.9761
Guadalupe,Nuevo León,691931.0,25.6775,-100.2597
Acapulco de Juárez,Guerrero,673478.0,16.8636,-99.8825
Tlaquepaque,Jalisco,664193.0,20.6167,-103.3167
Durango,Durango,654876.0,24.025,-104.6675
Tlalnepantla,México,653410.0,19.5367,-99.1947
Chimalhuacán,México,614453.0,19.4167,-98.9
Irapuato,Guanajuato,592953.0,20.6667,-101.35
Reynosa,Tamaulipas,589466.0,26.0922,-98.2778
Tuxtla,Chiapas,578830.0,16.7528,-93.1167
Tonalá,Jalisco,569913.0,20.6167,-103.2333
Cuautitlán Izcalli,México,555163.0,19.65,-99.25
Ixtapaluca,México,542211.0,19.3186,-98.8822
Heroica Matamoros,Tamaulipas,541979.0,25.8797,-97.5042
Ciudad Apodaca,Nuevo León,523370.0,25.7817,-100.1886
Tultitlán de Mariano Escobedo,México,520557.0,19.645,-99.1694
Mazatlán,Sinaloa,501441.0,23.2167,-106.4167
Ciudad López Mateos,México,489937.0,19.55,-99.2833
Ensenada,Baja California,443807.0,31.8578,-116.6058
San Nicolás de los Garza,Nuevo León,443273.0,25.75,-100.2833
Veracruz,Veracruz,428323.0,19.1903,-96.1533
Xalapa,Veracruz,424755.0,19.54,-96.9275
Nuevo Laredo,Tamaulipas,384033.0,27.4861,-99.5069
Celaya,Guanajuato,378143.0,20.5222,-100.8122
Nicolás Romero,México,366602.0,19.5833,-99.3667
Tecámac,México,364579.0,19.7131,-98.9683
Minatitlán,Veracruz,356020.0,17.9833,-94.55
Villahermosa,Tabasco,353577.0,17.9892,-92.9281
Gómez Palacio,Durango,342286.0,25.5611,-103.4983
Cuernavaca,Morelos,338650.0,18.9186,-99.2342
Uruapan,Michoacán,334749.0,19.4208,-102.0628
Tepic,Nayarit,332863.0,21.5083,-104.8931
Soledad de Graciano Sánchez,San Luis Potosí,332072.0,22.1833,-100.9333
Ciudad Obregón,Sonora,329404.0,27.4939,-109.9389
Salamanca,Guanajuato,327169.0,20.5703,-101.1972
Guasavito,Sinaloa,320000.0,25.5744,-108.4706
Tehuacán,Puebla,319375.0,18.4617,-97.3928
Coatzacoalcos,Veracruz,319187.0,18.15,-94.4333
Chalco,México,310130.0,19.2647,-98.8975
Ciudad Benito Juárez,Nuevo León,308285.0,25.65,-100.0833
Ciudad Santa Catarina,Nuevo León,306322.0,25.6833,-100.45
Ciudad Victoria,Tamaulipas,305155.0,23.7389,-99.1431
Playa del Carmen,Quintana Roo,304942.0,20.6281,-87.0755
San Juan del Río,Querétaro,301237.0,20.3833,-99.9833
Oaxaca,Oaxaca,300050.0,17.0606,-96.7253
Ciudad General Escobedo,Nuevo León,299364.0,25.7933,-100.1583
Los Mochis,Sinaloa,298009.0,25.7835,-108.9937
Pachuca,Hidalgo,297848.0,20.1,-98.75
Tampico,Tamaulipas,297284.0,22.2553,-97.8686
Coacalco,México,293444.0,19.6333,-99.0931
Huixquilucan,México,284965.0,19.3611,-99.3508
Nogales,Sonora,264782.0,31.3,-110.9333
Heroica Nogales,Sonora,261137.0,31.3186,-110.9458
La Paz,Baja California Sur,250141.0,24.1422,-110.3108
Campeche,Campeche,249623.0,19.85,-90.5306
Carmen,Campeche,248845.0,18.6431,-91.8306
Monclova,Coahuila,237169.0,26.9103,-101.4222
García,Nuevo León,234698.0,25.8167,-100.5833
Fresnillo,Zacatecas,230865.0,23.175,-102.8675
Puerto Vallarta,Jalisco,224166.0,20.6458,-105.2222
Toluca,México,223876.0,19.2925,-99.6569
Tapachula,Chiapas,217550.0,14.9,-92.2667
Jiutepec,Morelos,215357.0,18.8833,-99.1667
Comalcalco,Tabasco,214877.0,18.2801,-93.2018
Guadalupe,Zacatecas,211740.0,22.7528,-102.5078
Zamora,Michoacán,207860.0,19.9833,-102.2833
Córdoba,Veracruz,204721.0,18.8942,-96.9347
Ciudad Madero,Tamaulipas,197216.0,22.25,-97.8333
Cuautla,Morelos,194786.0,18.8167,-98.95
Guanajuato,Guanajuato,194500.0,21.0178,-101.2567
Ciudad del Carmen,Campeche,191238.0,18.6333,-91.8333
Manzanillo,Colima,191031.0,19.0522,-104.3158
Poza Rica de Hidalgo,Veracruz,189457.0,20.5333,-97.45
Chilpancingo,Guerrero,187251.0,17.55,-99.5
San Cristóbal,Chiapas,183509.0,16.7367,-92.6383
Cuauhtémoc,Chihuahua,180638.0,28.405,-106.8667
Cuautitlán,México,178847.0,19.6833,-99.1833
Ciudad Valles,San Luis Potosí,177022.0,21.9833,-99.0167
San Luis Río Colorado,Sonora,176685.0,32.4767,-114.7625
Santa María Texmelucan,Puebla,175518.0,19.2833,-98.4333
Chicoloapan,México,175053.0,19.4167,-98.9
Piedras Negras,Coahuila,173959.0,28.7,-100.5231
Lagos de Moreno,Jalisco,172402.0,21.35,-101.9167
Chetumal,Quintana Roo,169028.0,18.5036,-88.3053
San Martin Texmelucan de Labastida,Puebla,163922.0,19.2833,-98.4333
Tuxtepec,Oaxaca,162511.0,18.1,-96.1167
San Andrés Tuxtla,Veracruz,162428.0,18.4483,-95.2122
Papantla de Olarte,Veracruz,161097.0,20.4478,-97.32
Tulancingo,Hidalgo,161069.0,20.0833,-98.3667
Ciudad Acuña,Coahuila,160225.0,29.3242,-100.9317
Macuspana,Tabasco,158601.0,17.7667,-92.6
Guaymas,Sonora,156863.0,27.9183,-110.8933
Ixtlahuaca,México,153184.0,19.5689,-99.7669
Delicias,Chihuahua,150506.0,28.1931,-105.4717
Valle de Santiago,Guanajuato,150054.0,20.3928,-101.1914
Pénjamo,Guanajuato,149936.0,20.4311,-101.7222
Villa de Álvarez,Colima,149762.0,19.25,-103.7333
Pesquería,Nuevo León,147624.0,25.785,-100.0511
Colima,Colima,146965.0,19.2433,-103.7247
Boca del Rio,Veracruz,144550.0,19.1056,-96.1078
Tepatitlán de Morelos,Jalisco,141322.0,20.8139,-102.7639
Las Maravillas,Chiapas,141027.0,16.3667,-91.7333
Iguala de la Independencia,Guerrero,140363.0,18.345,-99.5383
Kanasín,Yucatán,139753.0,20.9344,-89.5578
Cunduacán,Tabasco,137257.0,18.0667,-93.1667
San José del Cabo,Baja California Sur,136285.0,23.0614,-109.7081
Zinacantepec,México,136167.0,19.2833,-99.7333
Huejutla de Reyes,Hidalgo,129919.0,21.1333,-98.4167
Cholula de Rivadabia,Puebla,129032.0,19.0633,-98.3064
Apatzingan de la Constitucion,Michoacán,128250.0,19.0886,-102.3508
Orizaba,Veracruz,123182.0,18.85,-97.1
Zacatecas,Zacatecas,122889.0,22.7736,-102.5736
San Pedro Garza García,Nuevo León,122659.0,25.6667,-100.3
Ciudad Hidalgo,Michoacán,122619.0,19.6917,-100.5536
Navojoa,Sonora,120926.0,27.0813,-109.4461
Chilapa de Álvarez,Guerrero,120790.0,17.5944,-99.1778
Tizayuca,Hidalgo,119442.0,19.8333,-98.9833
Miramar,Tamaulipas,118614.0,22.3375,-97.8694
Matamoros,Coahuila,118337.0,25.533,-103.25
Heroica Guaymas,Sonora,117253.0,27.9183,-110.8989
Tecomán,Colima,116305.0,18.9089,-103.8747
Temixco,Morelos,116143.0,18.85,-99.2333
El Pueblito,Querétaro,115264.0,20.5397,-100.4414
Ciudad Guzmán,Jalisco,115000.0,19.7,-103.4667
Tlapacoyan,Veracruz,115000.0,19.9617,-97.2108
Las Delicias,Chihuahua,114783.0,28.2,-105.5
Comitán,Chiapas,113479.0,16.25,-92.1333
Chilón,Chiapas,111554.0,17.1167,-92.2833
San Antonio Enchisi,México,110560.0,19.7072,-99.7867
Martínez de la Torre,Veracruz,110415.0,20.0667,-97.05
Temoaya,México,105766.0,19.4686,-99.5933
Lerma,México,105578.0,19.2847,-99.5119
Texcoco,México,105165.0,19.52,-98.88
Parral,Chihuahua,104836.0,26.9333,-105.6667
Tenancingo,México,104677.0,18.9608,-99.5906
Tula de Allende,Hidalgo,103919.0,20.05,-99.35
Matehuala,San Luis Potosí,102199.0,23.6528,-100.6444
Ciudad Río Bravo,Tamaulipas,101481.0,25.9861,-98.0889
San Luis de la Paz,Guanajuato,101370.0,21.2986,-100.5164
Playas de Rosarito,Baja California,100660.0,32.3422,-117.0561
San Felipe del Progreso,México,100201.0,19.7125,-99.9511
Ixmiquilpan,Hidalgo,98654.0,20.4819,-99.2181
Tamazunchale,San Luis Potosí,96820.0,21.2667,-98.7833
Paraíso,Tabasco,96741.0,18.3961,-93.2128
Rincón de Romos,Aguascalientes,94978.0,22.2333,-102.3167
Ocotlán,Jalisco,94978.0,20.3467,-102.7744
San José del Rincón Centro,México,93878.0,19.6606,-100.1525
Santa Cruz Xoxocotlán,Oaxaca,93188.0,17.0264,-96.7333
Teziutlan,Puebla,92170.0,19.8178,-97.3667
Coatepec,Veracruz,92127.0,19.4522,-96.9614
Tultepec,México,91808.0,19.685,-99.1281
Agua Prieta,Sonora,91029.0,31.3258,-109.5489
Ciudad de Atlixco,Puebla,89314.0,18.9,-98.45
San Francisco,Sonora,89122.0,30.7841,-112.518
Jilotepec,México,87927.0,19.9519,-99.5328
Salinas Victoria,Nuevo León,86766.0,25.9667,-100.3
Santa Rosa Jauregui,Querétaro,86376.0,20.7418,-100.4473
Guasave,Sinaloa,86361.0,25.5655,-108.4718
Apaseo el Grande,Guanajuato,85319.0,20.5531,-100.6347
Ciudad Mante,Tamaulipas,84787.0,22.7333,-98.95
Túxpam de Rodríguez Cano,Veracruz,84750.0,20.95,-97.4
Acayucan,Veracruz,83817.0,17.9422,-94.9103
La Piedad,Michoacán,83323.0,20.3333,-102.0167
La Trinidad,Chiapas,83111.0,15.9833,-91.8667
